,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Nevada County, California: Summary level: 050, state:06> county:057",44059,2133,46192,4.6,66115,44753,6433,14002.0,48947,50297,26254,66096,50.5
"Mendocino County, California: Summary level: 050, state:06> county:045",37689,3571,41260,8.7,42688,48960,7413,14723.0,43242,43982,18532,51416,43.1
"Los Angeles County, California: Summary level: 050, state:06> county:037",4929863,319435,5249298,6.1,5846738,3885781,965181,992719.0,4969382,5112188,1335978,68044,36.5
"Santa Clara County, California: Summary level: 050, state:06> county:085",999094,44635,1043729,4.3,1476710,518841,82404,154212.0,974422,953048,254174,124055,37.1
"Siskiyou County, California: Summary level: 050, state:06> county:093",16538,1269,17807,7.1,23666,24759,2566,8068.0,21708,21760,10732,45241,47.8
"Del Norte County, California: Summary level: 050, state:06> county:015",9015,751,9766,7.7,13002,13766,1607,4910.0,14745,12750,4727,45283,39.5
"Chaffee County, Colorado: Summary level: 050, state:08> county:015",8364,291,8655,3.4,11494,8057,1816,3115.0,10488,9069,4899,55771,49.2
"Garfield County, Colorado: Summary level: 050, state:08> county:045",31575,1469,33044,4.4,34565,18963,9369,4583.0,30109,28946,7477,75937,36.5
"Jefferson County, Colorado: Summary level: 050, state:08> county:059",316280,11921,328201,3.6,437845,162293,30966,57029.0,286412,288386,91969,82986,40.3
"Rio Blanco County, Colorado: Summary level: 050, state:08> county:103",2806,176,2982,5.9,4296,2105,524,754.0,3260,3124,973,54357,36.9
"Conejos County, Colorado: Summary level: 050, state:08> county:021",3029,354,3383,10.5,3628,4678,848,1642.0,4088,4040,1513,36084,38.8
"Adams County, Colorado: Summary level: 050, state:08> county:001",261893,10917,272810,4.0,326058,165051,50619,52006.0,254500,249608,51105,71202,33.8
"Eagle County, Colorado: Summary level: 050, state:08> county:037",34128,647,34775,1.9,38881,11818,7383,2740.0,29060,25621,5877,84790,37.0
"Moffat County, Colorado: Summary level: 050, state:08> county:081",6163,282,6445,4.4,8172,4321,2026,1466.0,6797,6330,1808,57229,36.6
"Cheyenne County, Colorado: Summary level: 050, state:08> county:017",849,68,917,7.4,1291,715,232,241.0,1012,1014,335,53977,39.4
"Montgomery County, Alabama: Summary level: 050, state:01> county:101",101013,7119,108132,6.6,144185,86768,22259,35554.0,107049,119892,33107,50124,36.4
"Marshall County, Alabama: Summary level: 050, state:01> county:095",39193,1749,40942,4.3,58664,38245,11660,13960.0,47230,48413,16093,45983,38.8
"Blount County, Alabama: Summary level: 050, state:01> county:009",21917,763,22680,3.4,38888,19499,6159,8047.0,28495,29186,10326,49358,40.7
"Henry County, Alabama: Summary level: 050, state:01> county:067",6920,433,7353,5.9,10980,7108,1654,3206.0,8319,8814,3785,50017,44.4
"Madison County, Alabama: Summary level: 050, state:01> county:089",176910,9338,186248,5.0,275198,104605,29653,47143.0,176935,185341,53151,65449,38.5
"Autauga County, Alabama: Summary level: 050, state:01> county:001",24522,936,25458,3.7,38855,19242,3856,10363.0,26934,28446,8283,58731,38.2
"Tallapoosa County, Alabama: Summary level: 050, state:01> county:123",15119,1656,16775,9.9,25148,18252,3265,7919.0,19573,20968,8505,45828,44.7
"Geneva County, Alabama: Summary level: 050, state:01> county:061",10294,589,10883,5.4,14753,11863,3304,6168.0,12835,13582,5275,41732,43.2
"Wilcox County, Alabama: Summary level: 050, state:01> county:131",2995,541,3536,15.3,4731,5897,1134,2001.0,5014,5667,2026,31014,40.5
"Aleutians West Census Area, Alaska: Summary level: 050, state:02> county:016",3830,82,3912,2.1,3959,757,959,443.0,3380,2318,347,87466,38.6
"Bristol Bay Borough, Alaska: Summary level: 050, state:02> county:060",468,50,518,9.7,535,206,176,113.0,524,351,87,79808,42.9
"Kodiak Island Borough, Alaska: Summary level: 050, state:02> county:150",6680,395,7075,5.6,8182,3727,2203,1331.0,7221,6230,1319,85839,33.9
"Northwest Arctic Borough, Alaska: Summary level: 050, state:02> county:188",2619,581,3200,18.2,2444,3645,1978,722.0,4189,3526,575,60906,27.8
"Scott County, Tennessee: Summary level: 050, state:47> county:151",8163,635,8798,7.2,11057,11097,2260,6038.0,10857,11112,3633,38864,39.4
"McMinn County, Tennessee: Summary level: 050, state:47> county:107",21334,1367,22701,6.0,30839,23533,5515,10618.0,25838,27215,10276,43285,42.6
"Marshall County, Tennessee: Summary level: 050, state:47> county:117",14927,948,15875,6.0,22457,12179,2454,5398.0,16235,16730,5183,53197,38.9
"Rhea County, Tennessee: Summary level: 050, state:47> county:143",13076,1219,14295,8.5,19675,14304,3101,6629.0,16199,16520,5883,42206,38.9
"Anderson County, Tennessee: Summary level: 050, state:47> county:001",32611,2110,34721,6.1,48847,31684,7030,14778.0,37152,38909,14987,50392,43.3
"Fentress County, Tennessee: Summary level: 050, state:47> county:049",7033,532,7565,7.0,9623,9519,1391,4201.0,9084,9129,3832,36520,45.2
"Gibson County, Tennessee: Summary level: 050, state:47> county:053",20127,1305,21432,6.1,30845,19716,4214,9226.0,23623,25605,8710,43171,39.9
"Hardeman County, Tennessee: Summary level: 050, state:47> county:069",8055,1082,9137,11.8,12118,10185,2163,4441.0,14252,11191,4552,40304,40.3
"Loudon County, Tennessee: Summary level: 050, state:47> county:105",21396,1053,22449,4.7,35238,21528,5351,7231.0,25614,26726,13522,58065,47.6
"Rutherford County, Tennessee: Summary level: 050, state:47> county:149",168044,7623,175667,4.3,235733,80428,26805,33876.0,155575,160240,32205,67429,33.5
"Smith County, Tennessee: Summary level: 050, state:47> county:159",9136,301,9437,3.2,12291,8216,1478,3163.0,9868,9872,3230,48068,40.3
"Wilson County, Tennessee: Summary level: 050, state:47> county:189",68351,2691,71042,3.8,103015,40425,8474,18054.0,67205,69461,21075,75991,40.4
"Unicoi County, Tennessee: Summary level: 050, state:47> county:171",7447,449,7896,5.7,10399,8369,1761,3908.0,9006,8805,4128,41890,46.5
"Lincoln County, New Mexico: Summary level: 050, state:35> county:027",7565,350,7915,4.4,10318,11041,2016,3818.0,9554,9907,5475,46216,50.9
"Chaves County, New Mexico: Summary level: 050, state:35> county:005",26889,1449,28338,5.1,30940,33716,6430,10505.0,32537,32607,10100,43359,35.7
"Lea County, New Mexico: Summary level: 050, state:35> county:025",28876,1956,30832,6.3,38491,26441,8885,7692.0,36269,34008,7770,60546,31.8
"Santa Fe County, New Mexico: Summary level: 050, state:35> county:049",70383,2996,73379,4.1,88235,67634,16019,19990.0,72380,76913,34538,61200,46.3
"Union County, New Mexico: Summary level: 050, state:35> county:059",1496,42,1538,2.7,1959,1752,484,739.0,2221,1912,816,35884,39.8
"Sierra County, New Mexico: Summary level: 050, state:35> county:051",3422,420,3842,10.9,5062,7603,570,2816.0,5463,5568,3921,29755,55.7
"Socorro County, New Mexico: Summary level: 050, state:35> county:053",5488,268,5756,4.7,8803,9296,1371,4052.0,8815,8043,3178,42083,39.4
"Roosevelt County, New Mexico: Summary level: 050, state:35> county:041",7901,750,8651,8.7,9859,9090,2011,3461.0,9401,9487,2622,42702,30.0
"Doña Ana County, New Mexico: Summary level: 050, state:35> county:013",88305,7362,95667,7.7,103909,112582,21856,29976.0,106056,110013,33040,40973,33.1
"Los Alamos County, New Mexico: Summary level: 050, state:35> county:028",9792,346,10138,3.4,16942,3806,585,1563.0,9463,9162,3260,121324,42.3
"Rio Arriba County, New Mexico: Summary level: 050, state:35> county:039",14103,1204,15307,7.9,19158,20458,3561,5810.0,18819,20340,7306,39952,41.3
"San Miguel County, New Mexico: Summary level: 050, state:35> county:047",9626,873,10499,8.3,13404,16620,1543,7806.0,13825,13913,5712,30946,44.0
"Valencia County, New Mexico: Summary level: 050, state:35> county:061",29682,2398,32080,7.5,41668,38443,6094,15108.0,38244,37783,13082,48945,38.9
"Torrance County, New Mexico: Summary level: 050, state:35> county:057",5504,410,5914,6.9,7054,9121,908,2594.0,8251,7268,3120,36120,43.6
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",318839,19207,338046,5.7,404194,292573,55324,92025.0,332204,345654,106928,53329,37.6
"Otero County, New Mexico: Summary level: 050, state:35> county:035",23336,1915,25251,7.6,32455,32814,5124,11247.0,34214,31923,11248,41988,35.8
"Cibola County, New Mexico: Summary level: 050, state:35> county:006",9202,1461,10663,13.7,9758,16451,2330,6238.0,13612,13279,4197,39413,37.3
"De Baca County, New Mexico: Summary level: 050, state:35> county:011",627,74,701,10.6,1195,997,82,357.0,1043,997,401,31625,35.4
"Guadalupe County, New Mexico: Summary level: 050, state:35> county:019",1262,95,1357,7.0,2114,2132,186,720.0,2556,1797,949,24798,43.1
"Catron County, New Mexico: Summary level: 050, state:35> county:003",888,79,967,8.2,1670,2544,375,1092.0,1944,1582,1306,41910,58.1
"Bronx County, New York: Summary level: 050, state:36> county:005",601341,66986,668327,10.0,643801,795008,121071,215384.0,676437,758631,179661,40088,34.2
"Onondaga County, New York: Summary level: 050, state:36> county:067",222177,12390,234567,5.3,339831,172454,16929,58092.0,223287,239585,76833,61359,39.1
"Clinton County, New York: Summary level: 050, state:36> county:019",35759,1647,37406,4.4,54385,31074,2969,12370.0,41257,39326,13218,56365,39.5
"Seneca County, New York: Summary level: 050, state:36> county:099",15280,572,15852,3.6,21999,13022,2616,5584.0,17957,16433,6413,54545,42.1
"Putnam County, New York: Summary level: 050, state:36> county:079",51264,2457,53721,4.6,80046,28191,3633,9752.0,49221,49566,16504,104486,44.2
"Herkimer County, New York: Summary level: 050, state:36> county:043",28769,1794,30563,5.9,40331,28266,3056,9816.0,30721,31336,12483,54646,44.2
"Ontario County, New York: Summary level: 050, state:36> county:069",54822,1960,56782,3.5,82936,40602,3558,13787.0,53619,55892,21207,64944,43.7
"Steuben County, New York: Summary level: 050, state:36> county:101",42836,2888,45724,6.3,63524,42291,5199,14288.0,48131,48291,18251,53663,42.9
"Hamilton County, New York: Summary level: 050, state:36> county:041",1787,66,1853,3.6,2572,2424,276,1243.0,2264,2251,1366,58675,55.3
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55951,3615,59566,6.1,81859,58911,6755,20396.0,63355,65141,25157,46820,42.6
"Kings County, New York: Summary level: 050, state:36> county:047",1227030,80619,1307649,6.2,1426197,1168536,187839,257084.0,1227099,1362875,352294,60231,35.2
"Tioga County, New York: Summary level: 050, state:36> county:107",22805,1479,24284,6.1,33948,19979,2011,7366.0,24144,24542,9604,62999,44.5
"Orleans County, New York: Summary level: 050, state:36> county:073",17833,1014,18847,5.4,25653,17318,1950,6297.0,20443,20461,7098,52620,43.0
"Saratoga County, New York: Summary level: 050, state:36> county:091",119896,4308,124204,3.5,187268,66958,7509,25247.0,113004,115498,40191,84291,42.8
"Columbia County, New York: Summary level: 050, state:36> county:021",29694,1539,31233,4.9,41899,24264,2694,8691.0,30178,30193,13936,66787,48.2
"Lewis County, New York: Summary level: 050, state:36> county:049",11917,601,12518,4.8,18166,10742,1450,3730.0,13307,13265,4755,54524,42.2
"Westchester County, New York: Summary level: 050, state:36> county:119",482359,27378,509737,5.4,716800,305259,55761,91003.0,469169,499721,162211,96610,40.9
"Delaware County, New York: Summary level: 050, state:36> county:025",19952,981,20933,4.7,29073,21869,2293,7655.0,22703,22292,10788,49544,47.9
"Montgomery County, New York: Summary level: 050, state:36> county:057",21636,1541,23177,6.6,29305,23416,3078,7986.0,24255,25047,9020,49462,41.0
"Richmond County, New York: Summary level: 050, state:36> county:085",214492,10288,224780,4.6,339521,159693,20379,46282.0,230060,244833,75442,82783,40.1
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",43722,3505,47227,7.4,72157,44064,6276,17442.0,55356,53557,18398,50940,39.0
"Tompkins County, New York: Summary level: 050, state:36> county:109",50882,2019,52901,3.8,81426,29498,3482,9911.0,50677,51965,14295,60240,31.1
"Warren County, New York: Summary level: 050, state:36> county:113",31988,1335,33323,4.0,47769,25667,2465,9397.0,31642,32634,13887,61024,46.8
"Cortland County, New York: Summary level: 050, state:36> county:023",23241,1290,24531,5.3,35909,16690,1495,6159.0,23443,24422,7668,56023,36.4
"Dutchess County, New York: Summary level: 050, state:36> county:027",145110,7684,152794,5.0,215826,96369,13441,36290.0,146061,147693,50176,81219,42.2
"Platte County, Wyoming: Summary level: 050, state:56> county:031",4464,90,4554,2.0,6247,2719,953,1431.0,4531,4051,2049,50903,49.2
"Sheridan County, Wyoming: Summary level: 050, state:56> county:033",15193,478,15671,3.1,22885,8448,3151,3712.0,15015,15125,6167,60807,42.3
"Big Horn County, Wyoming: Summary level: 050, state:56> county:003",5081,406,5487,7.4,7790,3873,1820,1753.0,6071,5811,2501,52804,41.6
"Crook County, Wyoming: Summary level: 050, state:56> county:011",3455,79,3534,2.2,5376,2250,653,681.0,3745,3727,1430,65132,42.7
"Park County, Wyoming: Summary level: 050, state:56> county:029",13922,454,14376,3.2,21059,9231,3318,3946.0,14347,14801,6459,63582,44.5
"Albany County, Wyoming: Summary level: 050, state:56> county:001",21328,1013,22341,4.5,30944,7745,3142,3627.0,19931,18459,4325,49322,27.6
"Carbon County, Wyoming: Summary level: 050, state:56> county:007",7286,229,7515,3.0,10569,3856,1573,1823.0,8179,7068,2489,60161,38.6
"Goshen County, Wyoming: Summary level: 050, state:56> county:015",6014,481,6495,7.4,8818,4864,1457,2014.0,6789,6553,2878,54289,44.1
"Uinta County, Wyoming: Summary level: 050, state:56> county:041",9294,623,9917,6.3,14658,5725,2271,3377.0,10406,10073,2665,63403,35.8
"Washakie County, Wyoming: Summary level: 050, state:56> county:043",3777,154,3931,3.9,5179,2562,1182,1115.0,4065,3962,1693,54158,42.9
"Hot Springs County, Wyoming: Summary level: 050, state:56> county:017",2217,68,2285,3.0,2982,1780,636,782.0,2312,2295,1104,51413,46.6
"Fremont County, Wyoming: Summary level: 050, state:56> county:013",18294,1142,19436,5.9,22610,14244,7190,5733.0,20034,19778,7110,55896,38.7
"Sublette County, Wyoming: Summary level: 050, state:56> county:035",5234,226,5460,4.1,7345,2563,1377,1599.0,5478,4402,1758,77403,39.4
"Weston County, Wyoming: Summary level: 050, state:56> county:045",3221,139,3360,4.1,4680,2193,794,898.0,3719,3330,1370,57031,43.1
"Aibonito Municipio, Puerto Rico: Summary level: 050, state:72> county:009",6970,373,7343,5.1,6858,16092,794,,11030,11958,4571,20521,42.5
"Juncos Municipio, Puerto Rico: Summary level: 050, state:72> county:077",11980,3682,15662,23.5,12187,24833,3423,,18449,20331,6036,19605,38.6
"Lajas Municipio, Puerto Rico: Summary level: 050, state:72> county:079",4873,1447,6320,22.9,6783,17263,1053,,11106,11729,5368,13992,45.0
"Adjuntas Municipio, Puerto Rico: Summary level: 050, state:72> county:001",3856,1997,5853,34.1,3897,13392,1235,,8912,8979,3334,14012,42.1
"Camuy Municipio, Puerto Rico: Summary level: 050, state:72> county:027",8762,1267,10029,12.6,8768,22389,1549,,15109,16489,6067,17000,42.2
"Naguabo Municipio, Puerto Rico: Summary level: 050, state:72> county:103",7124,1275,8399,15.2,7342,18523,1729,,12199,13876,4540,19432,38.4
"Naranjito Municipio, Puerto Rico: Summary level: 050, state:72> county:105",7216,2228,9444,23.6,10826,18692,1515,,13801,14311,5180,18883,41.1
"Arecibo Municipio, Puerto Rico: Summary level: 050, state:72> county:013",23050,5024,28074,17.9,30219,55684,4874,,40820,44570,17960,18647,42.8
"Arroyo Municipio, Puerto Rico: Summary level: 050, state:72> county:015",3527,563,4090,13.8,3900,14286,590,,8324,9481,3337,17570,40.3
"Quebradillas Municipio, Puerto Rico: Summary level: 050, state:72> county:115",6969,604,7573,8.0,6347,17648,1024,,11383,12246,4618,17473,41.2
"Guayama Municipio, Puerto Rico: Summary level: 050, state:72> county:057",9851,829,10680,7.8,11591,26490,2349,,20284,20605,7134,17261,39.1
"Culebra Municipio, Puerto Rico: Summary level: 050, state:72> county:049",591,19,610,3.1,470,787,162,,668,643,306,23333,43.1
"Gurabo Municipio, Puerto Rico: Summary level: 050, state:72> county:063",18043,3675,21718,16.9,23631,21925,3731,,22145,24765,7214,35018,39.0
"Barceloneta Municipio, Puerto Rico: Summary level: 050, state:72> county:017",6495,1599,8094,19.8,8471,15845,1100,,11413,12666,4555,17154,40.6
"Yauco Municipio, Puerto Rico: Summary level: 050, state:72> county:153",8532,2163,10695,20.2,10527,24281,2157,,16959,18469,7532,14743,43.9
"Aguadilla Municipio, Puerto Rico: Summary level: 050, state:72> county:005",13746,3603,17349,20.8,17322,34858,2536,,25582,27221,11034,16269,42.0
"Cabo Rojo Municipio, Puerto Rico: Summary level: 050, state:72> county:023",12677,2206,14883,14.8,19045,32147,2416,,22960,25527,10910,16708,44.1
"Patillas Municipio, Puerto Rico: Summary level: 050, state:72> county:109",4093,938,5031,18.6,3715,12807,931,,8245,8684,3575,16007,44.9
"Villalba Municipio, Puerto Rico: Summary level: 050, state:72> county:149",6579,1841,8420,21.9,6735,15531,836,,10856,11547,3745,19877,40.1
"Carolina Municipio, Puerto Rico: Summary level: 050, state:72> county:031",58500,10134,68634,14.8,79284,76780,12724,,70331,83448,33295,29059,42.8
"Cayey Municipio, Puerto Rico: Summary level: 050, state:72> county:035",13328,1369,14697,9.3,20755,25023,3168,,21008,22777,8711,22518,42.8
"Humacao Municipio, Puerto Rico: Summary level: 050, state:72> county:069",15158,1936,17094,11.3,18122,36277,2259,,24767,27740,11094,20434,43.3
"Morovis Municipio, Puerto Rico: Summary level: 050, state:72> county:101",8757,2442,11199,21.8,8507,21873,1768,,15360,15602,4749,20941,38.7
"Trujillo Alto Municipio, Puerto Rico: Summary level: 050, state:72> county:139",27259,1556,28815,5.4,36991,28686,5259,,31164,35174,12138,32545,40.5
"Manatí Municipio, Puerto Rico: Summary level: 050, state:72> county:091",10623,2388,13011,18.4,13003,25025,3029,,18281,20555,8059,18502,42.1
"Peñuelas Municipio, Puerto Rico: Summary level: 050, state:72> county:111",5133,1451,6584,22.0,5372,15069,616,,9881,10502,3252,16718,38.8
"Rincón Municipio, Puerto Rico: Summary level: 050, state:72> county:117",4654,365,5019,7.3,4970,9567,581,,6783,7273,3369,19907,46.0
"San Germán Municipio, Puerto Rico: Summary level: 050, state:72> county:125",7749,545,8294,6.6,10960,21947,1354,,15281,16161,7476,16486,44.0
"San Sebastián Municipio, Puerto Rico: Summary level: 050, state:72> county:131",9087,2276,11363,20.0,9855,26954,1943,,18024,19096,8335,15331,44.1
"Chemung County, New York: Summary level: 050, state:36> county:015",37333,2220,39553,5.6,53747,36805,3483,12472.0,42056,42839,15614,54940,41.3
"Monroe County, New York: Summary level: 050, state:36> county:055",368088,21385,389473,5.5,533449,286211,24201,102184.0,358722,384619,125344,60075,38.9
"Oneida County, New York: Summary level: 050, state:36> county:065",102302,4978,107280,4.6,148180,99621,8863,32074.0,114666,115293,42275,56027,41.0
"Ulster County, New York: Summary level: 050, state:36> county:111",87223,4649,91872,5.1,121134,69302,9420,23972.0,88488,90177,34254,64304,44.0
"Livingston County, New York: Summary level: 050, state:36> county:051",29283,1077,30360,3.5,46993,22309,1942,7761.0,31998,31593,10929,59510,41.3
"Otsego County, New York: Summary level: 050, state:36> county:077",28014,1723,29737,5.8,42484,24480,2858,8745.0,28923,31049,12333,54028,42.3
"Greene County, New York: Summary level: 050, state:36> county:039",20451,836,21287,3.9,31224,19574,1876,6187.0,24796,22628,10262,53601,45.9
"Albany County, New York: Summary level: 050, state:36> county:001",160761,7603,168364,4.5,237008,103927,9488,34212.0,148624,158344,50691,66252,37.8
"Allegany County, New York: Summary level: 050, state:36> county:003",19996,1032,21028,4.9,31826,19190,3069,7419.0,23678,23010,8596,48412,39.1
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",33684,1975,35659,5.5,50466,33678,5276,12186.0,38322,38799,14427,48703,42.0
"Madison County, New York: Summary level: 050, state:36> county:053",34103,1423,35526,4.0,51529,26587,3091,8764.0,35171,36034,12550,61633,41.9
"Schenectady County, New York: Summary level: 050, state:36> county:093",72938,5117,78055,6.6,108007,60463,6503,20669.0,75505,79354,26055,65499,39.7
"Genesee County, New York: Summary level: 050, state:36> county:037",29570,1274,30844,4.1,42518,22606,1985,8430.0,28941,28867,10593,60524,43.1
"Yates County, New York: Summary level: 050, state:36> county:123",11404,489,11893,4.1,14399,9426,4345,2884.0,11952,13059,5030,56563,41.0
"Greene County, North Carolina: Summary level: 050, state:37> county:079",8346,679,9025,7.5,9988,8058,3099,3988.0,11674,9359,3316,39837,40.7
"Mitchell County, North Carolina: Summary level: 050, state:37> county:121",6397,228,6625,3.4,9614,6281,1756,3035.0,7476,7528,3658,46103,47.0
"Chowan County, North Carolina: Summary level: 050, state:37> county:041",5586,466,6052,7.7,8413,6384,1282,2337.0,6575,7522,3415,46519,46.0
"Alleghany County, North Carolina: Summary level: 050, state:37> county:005",4644,190,4834,3.9,6329,5421,1230,2192.0,5404,5604,2917,37830,50.1
"Caldwell County, North Carolina: Summary level: 050, state:37> county:027",36848,2490,39338,6.3,48146,33948,9993,15051.0,40432,41452,15832,44511,44.6
"Catawba County, North Carolina: Summary level: 050, state:37> county:035",73813,5138,78951,6.5,101081,56832,18172,22113.0,77099,80514,27535,52056,41.4
"Cleveland County, North Carolina: Summary level: 050, state:37> county:045",40163,3644,43807,8.3,58513,40608,11799,15628.0,47012,50270,17692,42247,41.8
"Craven County, North Carolina: Summary level: 050, state:37> county:049",40394,3083,43477,7.1,65316,37026,10184,15538.0,51769,50722,19177,52687,37.0
"Edgecombe County, North Carolina: Summary level: 050, state:37> county:065",21563,1992,23555,8.5,27467,26082,5386,8687.0,24421,28227,9985,36866,41.7
"Granville County, North Carolina: Summary level: 050, state:37> county:077",26927,1588,28515,5.6,38250,20225,4988,8926.0,30241,29087,9858,55856,42.7
"Harnett County, North Carolina: Summary level: 050, state:37> county:085",52441,4012,56453,7.1,81771,45330,14104,16751.0,65571,66712,16089,53554,34.4
"Hoke County, North Carolina: Summary level: 050, state:37> county:093",19173,2084,21257,9.8,30470,18776,6957,9064.0,26783,27174,5193,48072,32.8
"Henderson County, North Carolina: Summary level: 050, state:37> county:089",53229,1385,54614,2.5,76270,46172,13229,17631.0,55243,59670,29232,55945,47.4
"Hyde County, North Carolina: Summary level: 050, state:37> county:095",1956,138,2094,6.6,2613,2001,807,796.0,2745,2468,1012,39663,40.9
"Iredell County, North Carolina: Summary level: 050, state:37> county:097",86063,4397,90460,4.9,125566,54998,15611,22073.0,86425,89113,27300,60955,40.6
"Mecklenburg County, North Carolina: Summary level: 050, state:37> county:119",571063,28556,599619,4.8,756345,272445,124210,85201.0,516517,557958,117292,66641,35.1
"Northampton County, North Carolina: Summary level: 050, state:37> county:131",7357,493,7850,6.3,10712,8646,2621,3983.0,9699,10247,5000,37146,49.6
"Pitt County, North Carolina: Summary level: 050, state:37> county:147",84097,7455,91552,8.1,123902,54324,17965,24088.0,83978,94455,22859,47437,32.5
"Rowan County, North Carolina: Summary level: 050, state:37> county:159",62623,4857,67480,7.2,83618,56393,16340,21768.0,69468,70828,24122,49842,40.2
"Vance County, North Carolina: Summary level: 050, state:37> county:181",19153,1751,20904,8.4,23954,21674,4747,8384.0,20751,23728,7950,40529,40.9
"Cherokee County, North Carolina: Summary level: 050, state:37> county:039",10844,605,11449,5.3,15699,14089,3918,5439.0,13716,14253,8097,41438,51.5
"Currituck County, North Carolina: Summary level: 050, state:37> county:053",12681,572,13253,4.3,18658,7842,3450,3824.0,13103,13260,4177,69964,42.8
"Union County, North Carolina: Summary level: 050, state:37> county:179",113699,5432,119131,4.6,175219,57529,20796,21542.0,113824,117229,28502,80033,38.2
"Wilkes County, North Carolina: Summary level: 050, state:37> county:193",29454,1708,31162,5.5,42520,27469,7702,12669.0,33733,34736,14368,44107,44.9
"Nash County, North Carolina: Summary level: 050, state:37> county:127",43322,2939,46261,6.4,59491,37487,9001,15850.0,45074,48956,16727,49537,41.7
"Alexander County, North Carolina: Summary level: 050, state:37> county:003",16913,916,17829,5.1,23522,14336,3185,6391.0,18940,18273,7248,48756,43.7
"Dare County, North Carolina: Summary level: 050, state:37> county:055",18416,839,19255,4.4,25773,11973,4757,4480.0,18110,18112,7499,59381,46.5
"Warren County, North Carolina: Summary level: 050, state:37> county:185",7402,717,8119,8.8,11061,9371,2409,3436.0,9884,10014,4888,36466,48.0
"Wilson County, North Carolina: Summary level: 050, state:37> county:195",35593,3062,38655,7.9,47542,34208,9782,12363.0,38537,42898,14229,43877,40.5
"Gates County, North Carolina: Summary level: 050, state:37> county:073",5258,354,5612,6.3,8362,4185,756,2609.0,5641,5907,2283,50750,46.5
"Graham County, North Carolina: Summary level: 050, state:37> county:075",3388,144,3532,4.1,4487,3833,1395,1821.0,4136,4373,1971,39571,46.2
"Madison County, North Carolina: Summary level: 050, state:37> county:115",9162,449,9611,4.7,13721,8791,1982,3647.0,10526,10973,4683,45873,44.0
"Pamlico County, North Carolina: Summary level: 050, state:37> county:137",4825,260,5085,5.1,7433,5953,1243,2397.0,6464,6237,3700,46728,52.4
"Polk County, North Carolina: Summary level: 050, state:37> county:149",8359,451,8810,5.1,13227,9622,2053,4046.0,9719,10838,6203,48787,52.7
"Randolph County, North Carolina: Summary level: 050, state:37> county:151",66144,3313,69457,4.8,83385,53697,19421,22765.0,70546,72572,24842,47288,41.7
"Stokes County, North Carolina: Summary level: 050, state:37> county:169",20997,1351,22348,6.0,30895,16214,5075,7066.0,22256,23525,9299,48054,46.2
"Washington County, North Carolina: Summary level: 050, state:37> county:187",4318,348,4666,7.5,6673,5957,1406,2553.0,5591,6331,2814,35979,46.1
"Clay County, North Carolina: Summary level: 050, state:37> county:043",4217,137,4354,3.1,6613,5339,1472,1938.0,5213,5733,3298,42222,52.2
"Cumberland County, North Carolina: Summary level: 050, state:37> county:051",127212,11752,138964,8.5,196876,120916,30024,52851.0,165585,167276,38522,46875,31.3
"Guilford County, North Carolina: Summary level: 050, state:37> county:081",253250,15176,268426,5.7,355367,175163,49928,59031.0,249974,277894,78210,53261,37.1
"Jackson County, North Carolina: Summary level: 050, state:37> county:099",18967,1008,19975,5.0,28146,15193,5587,6083.0,20985,21953,8270,47252,37.7
"Pasquotank County, North Carolina: Summary level: 050, state:37> county:139",16462,1152,17614,6.5,23948,14539,4535,6060.0,19268,20246,6518,50558,38.6
"Robeson County, North Carolina: Summary level: 050, state:37> county:155",48621,3478,52099,6.7,62220,62381,18481,21336.0,63995,68601,19512,34976,36.6
"Swain County, North Carolina: Summary level: 050, state:37> county:173",5642,421,6063,6.9,6629,5923,3026,2753.0,6966,7294,2704,39317,41.9
"Wake County, North Carolina: Summary level: 050, state:37> county:183",565245,23773,589018,4.0,828261,241080,89304,90722.0,519794,549285,120379,80591,36.2
"Anson County, North Carolina: Summary level: 050, state:37> county:007",10383,958,11341,8.4,13580,10111,2560,4267.0,13056,11846,4461,40213,40.9
"McDowell County, North Carolina: Summary level: 050, state:37> county:111",18707,1124,19831,5.7,26799,19273,5113,9079.0,22752,22475,8991,43646,43.9
"Franklin County, North Carolina: Summary level: 050, state:37> county:069",30998,1910,32908,5.8,43578,24374,6455,10066.0,32942,33420,10908,55193,41.4
"Jones County, North Carolina: Summary level: 050, state:37> county:103",3701,424,4125,10.3,5073,4566,1502,2347.0,4750,4844,2191,38158,48.5
"Macon County, North Carolina: Summary level: 050, state:37> county:113",14178,697,14875,4.7,21151,16118,4602,6204.0,16864,17949,9869,45507,50.1
"Brunswick County, North Carolina: Summary level: 050, state:37> county:019",52589,3217,55806,5.8,89095,62218,12789,21429.0,63419,68396,40223,58236,53.8
"Transylvania County, North Carolina: Summary level: 050, state:37> county:175",14055,889,14944,5.9,21182,15291,4491,5214.0,16252,17523,10112,50212,51.1
